虎  B-NAME
力  I-NAME
电  I-NAME
子  I-NAME
称  I-NAME
重  E-NAME
型  O
手  B-CATE
动  I-CATE
液  I-CATE
压  I-CATE
搬  I-CATE
运  I-CATE
车  E-CATE
，  O
   O
采  O
用  O
最  O
新  O
设  O
计  O
的  O
仪  O
表  O
，  O
精  B-ADJ
度  E-ADJ
达  O
到  O
0  O
.  O
1  O
%  O
，  O
最  O
小  O
刻  O
度  O
1  O
K  O
G  O
   O
具  O
有  O
毛  O
重  O
、  O
去  O
皮  O
、  O
累  O
计  O
功  O
能  O
，  O
密  O
封  O
要  O
求  O
符  O
合  O
I  O
P  O
6  O
5  O
标  O
准  O
，  O
冲  B-ADJ
洗  I-ADJ
方  I-ADJ
便  E-ADJ
   O
仪  O
表  O
具  O
有  O
低  O
电  O
压  O
、  O
缺  O
纸  O
、  O
低  O
温  O
。  O
虎  B-NAME
力  I-NAME
简  I-NAME
易  E-NAME
型  O
搬  B-CATE
运  I-CATE
车  E-CATE
，  O
   O
根  O
据  O
调  O
查  O
",  O"
   O
欧  O
洲  O
5  O
0  O
%  O
的  O
搬  B-CATE
运  I-CATE
车  E-CATE
实  O
际  O
使  O
用  O
的  O
载  B-PAR
重  I-PAR
量  E-PAR
都  O
小  O
于  O
6  O
0  O
0  O
公  O
斤  O
   O
可  O
折  O
叠  O
",  O"
   O
轻  O
巧  O
灵  B-ADJ
活  E-ADJ
",  O"
   O
价  O
格  O
便  O
宜  O
。  O
奥  B-NAME
津  I-NAME
C  I-NAME
T  I-NAME
Y  E-NAME
型  O
手  B-CATE
动  I-CATE
堆  I-CATE
高  I-CATE
车  E-CATE
，  O
   O
适  O
合  O
于  O
堆  B-APP
垛  I-APP
转  I-APP
运  E-APP
托  O
盘  O
货  O
物  O
   O
带  O
附  O
加  O
装  O
置  O
能  O
用  O
于  O
很  O
多  O
场  O
合  O
   O
C  O
T  O
Y  O
型  O
手  O
动  O
液  O
压  O
堆  O
高  O
车  O
起  B-PAR
升  E-PAR
量  O
为  O
5  O
0  O
0  O
0  O
2  O
0  O
0  O
0  O
k  O
g  O
",  O"
起  B-PAR
升  I-PAR
高  I-PAR
度  E-PAR
1  O
6  O
0  O
0  O
m  O
m  O
，  O
2  O
5  O
0  O
0  O
M  O
M  O
或  O
者  O
3  O
0  O
0  O
0  O
M  O
M  O
   O
手  O
动  O
液  O
压  O
堆  O
高  O
车  O
有  O
单  B-OUT
独  I-OUT
泵  I-OUT
驱  E-OUT
。  O
虎  B-NAME
力  I-NAME
5  I-NAME
T  E-NAME
重  B-CATE
型  I-CATE
手  I-CATE
动  I-CATE
液  I-CATE
压  I-CATE
搬  I-CATE
运  I-CATE
车  E-CATE
，  O
&  O
b  O
u  O
l  O
l  O
;  O
8  O
毫  O
米  O
优  O
质  O
钢  O
板  O
精  O
心  O
打  O
造  O
&  O
b  O
u  O
l  O
l  O
;  O
高  B-ADJ
品  I-ADJ
质  E-ADJ
的  O
重  O
载  O
型  O
油  O
缸  O
和  O
钢  O
制  O
车  O
轮  O
，  O
可  B-ADJ
靠  E-ADJ
耐  O
用  O
&  O
b  O
u  O
l  O
l  O
;  O
适  O
用  O
于  O
缺  O
乏  O
叉  B-CATE
车  E-CATE
或  O
叉  B-CATE
车  E-CATE
无  O
法  O
进  O
入  O
的  O
场  O
合  O
…  O
…  O
虎  B-NAME
力  I-NAME
标  I-NAME
准  E-NAME
型  O
手  B-CATE
动  I-CATE
液  I-CATE
压  I-CATE
搬  I-CATE
运  I-CATE
车  E-CATE
，  O
&  O
b  O
u  O
l  O
l  O
;  O
采  O
用  O
宝  O
钢  O
优  O
质  O
4  O
m  O
m  O
钢  O
板  O
无  B-ADJ
断  I-ADJ
点  I-ADJ
焊  I-ADJ
接  E-ADJ
强  O
度  O
可  B-ADJ
靠  E-ADJ
&  O
b  O
u  O
l  O
l  O
;  O
整  O
体  O
式  O
铸  O
造  O
油  O
缸  O
，  O
油  O
缸  O
下  O
降  O
速  B-PAR
度  E-PAR
